행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
강원도 화천군 (4279000000),00~07,"1,912","1,866","1,753","1,621","1,555","1,457",38.106156,127.708149
강원도 화천군 (4279000000),08~13,"1,211","1,137","1,152","1,056","1,063","1,041",38.106156,127.708149
강원도 화천군 (4279000000),14~16,750,705,615,578,519,521,38.106156,127.708149
강원도 화천군 (4279000000),17~19,807,767,732,730,696,607,38.106156,127.708149
강원도 화천군 (4279000000),20~24,"3,090","2,604","2,393","1,900","1,618","1,800",38.106156,127.708149
강원도 횡성군 (4273000000),00~07,"2,057","1,964","1,876","1,850","1,756","1,628",37.491737,127.984961
강원도 횡성군 (4273000000),08~13,"1,911","1,868","1,816","1,802","1,780","1,749",37.491737,127.984961
강원도 횡성군 (4273000000),14~16,"1,395","1,265","1,222","1,154","1,133","1,088",37.491737,127.984961
강원도 횡성군 (4273000000),17~19,"1,817","1,700","1,653","1,509","1,452","1,332",37.491737,127.984961
강원도 횡성군 (4273000000),20~24,"2,374","2,418","2,389","2,427","2,225","2,100",37.491737,127.984961
