행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도,,
경기도 수원시 (4111000000),20~24,"92,774","93,582","92,575","90,832","88,157","86,198",37.28730801,127.0304835,,
경기도 수원시 권선구 (4111300000),00~07,"28,790","29,518","29,505","30,300","27,886","25,466",37.26450118,126.9706767,,
경기도 수원시 권선구 (4111300000),08~13,"19,544","19,679","19,509","20,104","20,322","20,729",37.26450118,126.9706767,,
경기도 수원시 권선구 (4111300000),14~16,"12,553","11,761","10,763","10,408","9,762","9,353",37.26450118,126.9706767,,
경기도 수원시 권선구 (4111300000),17~19,"14,296","13,719","13,304","13,097","12,066","10,985",37.26450118,126.9706767,,
경기도 수원시 권선구 (4111300000),20~24,"26,861","27,175","26,953","26,967","25,727","24,683",37.26450118,126.9706767,,
경기도 수원시 영통구 (4111700000),00~07,"32,387","31,872","31,761","30,632","30,491","28,291",37.2571528,127.0700354,,
경기도 수원시 영통구 (4111700000),08~13,"24,252","24,420","24,401","24,347","25,603","26,194",37.2571528,127.0700354,,
경기도 수원시 영통구 (4111700000),14~16,"14,833","14,117","13,251","12,664","12,491","12,123",37.2571528,127.0700354,,
경기도 수원시 영통구 (4111700000),17~19,"14,886","14,311","14,755","14,665","14,230","13,127",37.2571528,127.0700354,,
경기도 수원시 영통구 (4111700000),20~24,"25,695","26,267","26,548","26,490","26,577","26,560",37.2571528,127.0700354,,
경기도 수원시 장안구 (4111100000),00~07,"21,836","20,587","19,264","17,401","15,305","13,681",37.31006999,127.0161188,,
경기도 수원시 장안구 (4111100000),08~13,"18,296","17,959","17,275","16,514","16,072","15,612",37.31006999,127.0161188,,
경기도 수원시 장안구 (4111100000),14~16,"12,061","11,218","10,200","9,307","8,750","8,259",37.31006999,127.0161188,,
경기도 수원시 장안구 (4111100000),17~19,"14,017","13,196","12,849","12,103","11,250","10,003",37.31006999,127.0161188,,
경기도 수원시 장안구 (4111100000),20~24,"25,381","25,361","24,820","24,153","23,077","22,444",37.31006999,127.0161188,,
경기도 수원시 팔달구 (4111500000),00~07,"12,452","11,831","10,958","9,321","8,204","7,288",37.27950806,127.0251029,,
경기도 수원시 팔달구 (4111500000),08~13,"9,537","9,251","8,701","7,903","7,495","7,267",37.27950806,127.0251029,,
경기도 수원시 팔달구 (4111500000),14~16,"6,411","5,934","5,307","4,702","4,303","3,979",37.27950806,127.0251029,,
경기도 수원시 팔달구 (4111500000),17~19,"7,405","7,096","6,859","6,189","5,587","5,040",37.27950806,127.0251029,,
경기도 수원시 팔달구 (4111500000),20~24,"14,837","14,779","14,254","13,222","12,776","12,511",37.27950806,127.0251029,,
경기도 시흥시 (4139000000),00~07,"31,100","30,219","31,254","34,512","36,633","37,108",126.7880711,37.39403201,,
경기도 시흥시 (4139000000),08~13,"25,996","25,629","25,930","27,419","29,432","31,209",126.7880711,37.39403201,,
경기도 시흥시 (4139000000),14~16,"16,835","15,789","14,528","14,000","13,849","13,928",126.7880711,37.39403201,,
경기도 시흥시 (4139000000),17~19,"18,201","17,547","17,611","17,374","16,837","15,721",126.7880711,37.39403201,,
경기도 시흥시 (4139000000),20~24,"30,270","30,719","31,257","32,010","32,328","33,056",126.7880711,37.39403201,,
경기도 안산시 (4127000000),00~07,"48,719","46,293","43,370","38,861","35,882","33,849",37.31685476,126.8307094,,
경기도 안산시 (4127000000),08~13,"41,473","39,562","37,684","35,351","34,345","34,054",37.31685476,126.8307094,,
경기도 안산시 (4127000000),14~16,"29,586","26,935","23,703","21,155","19,650","18,311",37.31685476,126.8307094,,
경기도 안산시 (4127000000),17~19,"33,167","31,600","30,272","28,513","25,974","23,149",37.31685476,126.8307094,,
경기도 안산시 (4127000000),20~24,"58,630","58,710","57,026","54,261","52,226","51,372",37.31685476,126.8307094,,
경기도 안산시 단원구 (4127300000),00~07,"22,260","21,073","19,544","17,856","17,403","16,293",37.31429786,126.7884601,,
경기도 안산시 단원구 (4127300000),08~13,"19,370","18,631","17,763","16,718","16,521","16,078",37.31429786,126.7884601,,
경기도 안산시 단원구 (4127300000),14~16,"13,591","12,448","10,949","9,918","9,350","8,623",37.31429786,126.7884601,,
경기도 안산시 단원구 (4127300000),17~19,"14,869","14,275","13,709","13,087","12,148","10,730",37.31429786,126.7884601,,
경기도 안산시 단원구 (4127300000),20~24,"26,313","26,037","25,065","24,120","23,727","23,257",37.31429786,126.7884601,,
경기도 안산시 상록구 (4127100000),00~07,"26,459","25,220","23,826","21,005","18,479","17,556",37.31941166,126.8729587,,
경기도 안산시 상록구 (4127100000),08~13,"22,103","20,931","19,921","18,633","17,824","17,976",37.31941166,126.8729587,,
경기도 안산시 상록구 (4127100000),14~16,"15,995","14,487","12,754","11,237","10,300","9,688",37.31941166,126.8729587,,
경기도 안산시 상록구 (4127100000),17~19,"18,298","17,325","16,563","15,426","13,826","12,419",37.31941166,126.8729587,,
경기도 안산시 상록구 (4127100000),20~24,"32,317","32,673","31,961","30,141","28,499","28,115",37.31941166,126.8729587,,
경기도 안성시 (4155000000),00~07,"14,391","13,893","13,163","12,362","11,418","10,532",37.00524007,127.2765411,,
경기도 안성시 (4155000000),08~13,"10,899","10,714","10,684","10,625","10,733","10,840",37.00524007,127.2765411,,
경기도 안성시 (4155000000),14~16,"6,500","6,289","5,818","5,314","5,028","4,974",37.00524007,127.2765411,,
경기도 안성시 (4155000000),17~19,"7,177","7,019","6,951","6,896","6,538","6,188",37.00524007,127.2765411,,
경기도 안성시 (4155000000),20~24,"10,974","11,339","11,325","11,286","11,058","11,371",37.00524007,127.2765411,,
경기도 안양시 (4117000000),00~07,"40,417","39,529","38,240","35,964","33,511","30,292",37.40201307,126.953191,,
경기도 안양시 (4117000000),08~13,"33,105","32,284","30,997","30,020","29,840","29,209",37.40201307,126.953191,,
경기도 안양시 (4117000000),14~16,"22,411","20,660","18,857","17,155","16,124","15,270",37.40201307,126.953191,,
경기도 안양시 (4117000000),17~19,"25,180","24,101","23,262","21,977","20,046","17,931",37.40201307,126.953191,,
경기도 안양시 (4117000000),20~24,"45,799","44,998","43,478","41,482","39,381","37,193",37.40201307,126.953191,,
경기도 안양시 동안구 (4117300000),00~07,"25,051","24,412","22,687","21,248","19,938","17,955",37.40319228,126.9785428,,
경기도 안양시 동안구 (4117300000),08~13,"21,568","20,997","19,928","19,299","19,348","18,972",37.40319228,126.9785428,,
경기도 안양시 동안구 (4117300000),14~16,"14,552","13,388","12,040","10,960","10,382","9,850",37.40319228,126.9785428,,
경기도 안양시 동안구 (4117300000),17~19,"15,787","15,165","14,277","13,529","12,430","11,101",37.40319228,126.9785428,,
경기도 안양시 동안구 (4117300000),20~24,"26,686","26,291","24,596","23,423","22,482","21,103",37.40319228,126.9785428,,
경기도 안양시 만안구 (4117100000),00~07,"15,366","15,117","15,553","14,716","13,573","12,337",37.40083386,126.9278392,,
경기도 안양시 만안구 (4117100000),08~13,"11,537","11,287","11,069","10,721","10,492","10,237",37.40083386,126.9278392,,
경기도 안양시 만안구 (4117100000),14~16,"7,859","7,272","6,817","6,195","5,742","5,420",37.40083386,126.9278392,,
경기도 안양시 만안구 (4117100000),17~19,"9,393","8,936","8,985","8,448","7,616","6,830",37.40083386,126.9278392,,
경기도 안양시 만안구 (4117100000),20~24,"19,113","18,707","18,882","18,059","16,899","16,090",37.40083386,126.9278392,,
경기도 양주시 (4163000000),00~07,"16,602","15,946","15,953","15,518","15,307","15,034",37.785174,127.045768,,
경기도 양주시 (4163000000),08~13,"13,679","13,576","13,562","13,504","13,950","14,649",37.785174,127.045768,,
경기도 양주시 (4163000000),14~16,"7,959","7,562","7,307","7,040","6,930","6,987",37.785174,127.045768,,
경기도 양주시 (4163000000),17~19,"7,892","7,880","8,004","8,022","7,769","7,529",37.785174,127.045768,,
경기도 양주시 (4163000000),20~24,"12,717","12,777","12,941","12,991","13,354","13,854",37.785174,127.045768,,
경기도 양평군 (4183000000),00~07,"6,269","6,385","6,432","6,151","5,786","5,402",37.46296273,127.5574787,,
경기도 양평군 (4183000000),08~13,"5,428","5,504","5,666","5,665","5,802","5,875",37.46296273,127.5574787,,
경기도 양평군 (4183000000),14~16,"3,129","3,038","2,871","2,825","2,755","2,852",37.46296273,127.5574787,,
경기도 양평군 (4183000000),17~19,"3,508","3,452","3,555","3,490","3,317","3,098",37.46296273,127.5574787,,
경기도 양평군 (4183000000),20~24,"5,697","5,706","5,709","5,577","5,395","5,317",37.46296273,127.5574787,,
경기도 여주시 (4167000000),00~07,"7,285","7,142","6,799","6,422","5,918","5,569",37.28105843,127.6290026,,
경기도 여주시 (4167000000),08~13,"5,963","5,780","5,722","5,563","5,526","5,607",37.28105843,127.6290026,,
경기도 여주시 (4167000000),14~16,"3,867","3,544","3,206","2,993","2,871","2,788",37.28105843,127.6290026,,
경기도 여주시 (4167000000),17~19,"3,987","4,075","3,917","3,744","3,479","3,162",37.28105843,127.6290026,,
