행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도,,
전라남도 장흥군 (4680000000),08~13,"1,771","1,697","1,614","1,526","1,508","1,496",34.681597,126.907091,,
전라남도 장흥군 (4680000000),14~16,"1,280","1,183","1,090",984,862,786,34.681597,126.907091,,
전라남도 장흥군 (4680000000),17~19,"1,432","1,373","1,325","1,254","1,145","1,037",34.681597,126.907091,,
전라남도 장흥군 (4680000000),20~24,"2,138","2,128","2,142","2,052","1,877","1,743",34.681597,126.907091,,
전라남도 진도군 (4690000000),00~07,"1,702","1,639","1,578","1,488","1,391",1262,34.486788,126.263562,,
전라남도 진도군 (4690000000),08~13,"1,389","1,305","1,265","1,251","1,297","1,280",34.486788,126.263562,,
전라남도 진도군 (4690000000),14~16,967,878,812,707,629,575,34.486788,126.263562,,
전라남도 진도군 (4690000000),17~19,"1,012",988,961,951,872,786,34.486788,126.263562,,
전라남도 진도군 (4690000000),20~24,"1,456","1,491","1,440","1,421","1,387","1,309",34.486788,126.263562,,
전라남도 함평군 (4686000000),00~07,"1,643","1,566","1,476","1,324","1,171",1043,35.065903,126.516688,,
전라남도 함평군 (4686000000),08~13,"1,249","1,216","1,163","1,120","1,107","1,104",35.065903,126.516688,,
전라남도 함평군 (4686000000),14~16,922,867,803,754,652,569,35.065903,126.516688,,
전라남도 함평군 (4686000000),17~19,"1,068",990,975,920,851,766,35.065903,126.516688,,
전라남도 함평군 (4686000000),20~24,"1,690","1,715","1,681","1,607","1,500","1,400",35.065903,126.516688,,
전라남도 해남군 (4682000000),00~07,"4,718","4,622","4,179","3,852","3,527",3169,34.573319,126.599251,,
전라남도 해남군 (4682000000),08~13,"3,245","3,159","3,077","3,002","2,938","2,881",34.573319,126.599251,,
전라남도 해남군 (4682000000),14~16,"2,384","2,185","1,912","1,689","1,553","1,542",34.573319,126.599251,,
전라남도 해남군 (4682000000),17~19,"2,450","2,435","2,386","2,335","2,087","1,845",34.573319,126.599251,,
전라남도 해남군 (4682000000),20~24,"3,708","3,686","3,606","3,464","3,336","3,140",34.573319,126.599251,,
전라남도 화순군 (4679000000),00~07,"3,654","3,455","3,229","2,987","2,749",2569,35.06442,126.986616,,
전라남도 화순군 (4679000000),08~13,"3,524","3,322","3,229","3,052","3,000","2,973",35.06442,126.986616,,
전라남도 화순군 (4679000000),14~16,"2,578","2,408","2,054","1,898","1,759","1,681",35.06442,126.986616,,
전라남도 화순군 (4679000000),17~19,"2,678","2,607","2,634","2,559","2,349","2,025",35.06442,126.986616,,
전라남도 화순군 (4679000000),20~24,"3,869","4,017","4,015","3,977","3,796","3,841",35.06442,126.986616,,
