행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
경상남도 함안군 (4873000000),08~13,"3,593","3,662","3,670","3,671","3,686","3,610",35.272474,128.406533
경상남도 함안군 (4873000000),14~16,"2,164","2,076","1,918","1,750","1,723","1,698",35.272474,128.406533
경상남도 함안군 (4873000000),17~19,"2,475","2,368","2,293","2,132","2,037","1,847",35.272474,128.406533
경상남도 함안군 (4873000000),20~24,"3,748","3,691","3,651","3,482","3,201","2,964",35.272474,128.406533
경상남도 함양군 (4887000000),00~07,"1,943","1,812","1,690","1,579","1,484","1,366",35.520493,127.725176
경상남도 함양군 (4887000000),08~13,"1,776","1,752","1,686","1,691","1,610","1,585",35.520493,127.725176
경상남도 함양군 (4887000000),14~16,"1,210","1,122","1,011",936,895,875,35.520493,127.725176
경상남도 함양군 (4887000000),17~19,"1,306","1,221","1,262","1,247","1,134",994,35.520493,127.725176
경상남도 함양군 (4887000000),20~24,"1,861","1,933","1,921","1,972","1,872","1,737",35.520493,127.725176
경상남도 합천군 (4889000000),00~07,"1,826","1,664","1,529","1,450","1,318","1,190",35.566598,128.165857
경상남도 합천군 (4889000000),08~13,"1,583","1,519","1,448","1,399","1,370","1,370",35.566598,128.165857
경상남도 합천군 (4889000000),14~16,"1,146","1,017",915,801,738,687,35.566598,128.165857
경상남도 합천군 (4889000000),17~19,"1,420","1,347","1,268","1,152","1,005",854,35.566598,128.165857
경상남도 합천군 (4889000000),20~24,"2,055","1,968","1,983","1,933","1,904","1,714",35.566598,128.165857
